K,gamma,exact_log_ratio,perturbative_log_ratio
4,0.08139712382832602,0.07382265977424396,-1.637668517081631
4,0.08969986704665296,-1.2694627858538041,-1.8226073336868227
4,0.09884951420589624,-2.223312880561796,-2.0015097115430236
4,0.10893245196962958,-2.929989866312667,-2.1740921205920234
4,0.12004387869220161,-3.412619661466426,-2.3399761147468983
4,0.13228870323680647,-3.692326964074386,-2.4987086375627183
4,0.14578253547561118,-3.822689033428251,-2.6497882415193033
4,0.16065277782377413,-3.8662065648142097,-2.7926969365340435
4,0.17703982811310548,-3.8681659058400584,-2.9269364942130194
4,0.1950984051623391,-3.8535833459092927,-3.0520669605918327
4,0.2149990095594233,-3.834181999605331,-3.167744115136604
4,0.2369295334478522,-3.8146200256067075,-3.2737519776915684
4,0.26109703451588046,-3.7960486755620515,-3.3700265062129304
4,0.28772969093779666,-3.77780337000096,-3.456667493386772
4,0.31707895572488665,-3.7580241491547675,-3.533937256217639
4,0.3494219308264567,-3.7335623803095395,-3.602246663484839
4,0.385063983396064,-3.699078325733222,-3.6621308685524254
4,0.42434162892450517,-3.64448906629438,-3.7142183636320842
4,0.46762570846074836,-3.5477239432386654,-3.759197407720366
4,0.5153248899186396,-3.3507800840007143,-3.7977835309093186
4,0.5678895265270656,-2.858405773351283,-3.8306909177224417
4,0.6258159088532511,-0.9942716146425212,-3.858609341711789
4,0.689650950544788,-1.633570242172592,-3.882187248224553
4,0.7599973520309762,-3.2432443253059837,-3.9020207433721494
4,0.837519290936706,-3.6617245917286567,-3.918647711085251
4,0.9229486929350941,-3.8064477695442793,-3.9325460259189384
4,1.0170921422453234,-3.8665586632603013,-3.944134789944059
4,1.12083849702134,-3.8944276984886947,-3.9537776192398275
4,1.2351672815323365,-3.907804263073734,-3.961787170932644
4,1.3611579343700382,-3.913750512056458,-3.968430286027877
4,1.5,-3.9154516653357945,-3.9739332961992586
5,0.0001,44.505495354580795,44.49327088477155
5,0.0001102002906587192,43.53862324089042,43.52375463180751
5,0.00012144104061266207,42.57267277120629,42.55461599715829
5,0.00013382837973412683,41.60782831036807,41.58593433324931
5,0.00014747926345086223,40.64420898574813,40.617805255981786
5,0.00016252257698418858,39.682246007117264,39.650343787269364
5,0.00017910035222261646,38.7221618674881,38.683688016835774
5,0.0001973691087201132,37.76430991824307,37.71800332804931
5,0.00021750133148008824,36.80910085056782,36.753487215576875
5,0.00023968709947764182,35.85700705289936,35.79037469291456
5,0.00026413588029581474,34.90857596680539,34.8289442407083
5,0.00029107850781995444,33.96442573055212,33.86952417699426
5,0.0003207693616626528,33.025255818415225,32.91249923310357
5,0.00035348876889636157,32.09184928485638,31.95831699081424
5,0.00038954565076971864,31.16507553715728,31.00749367858174
5,0.0004292804393966292,30.245892331476917,30.06061864663124
5,0.00047306829195611276,29.33534943597394,29.118356664424816
5,0.0005213226327498746,28.434592461342547,28.18144704889928
5,0.0005744990565600491,27.544873084723484,27.250698596498268
5,0.0006330996301607743,26.667566205125624,26.326979429699747
5,0.0006976776325964496,25.804198503260686,25.41120125192767
5,0.0007688427789821585,24.956492675077158,24.50429817573645
5,0.0008472669771469127,24.126431851988265,23.607201220370648
5,0.0009336906714712427,23.31635007572796,22.720810632382822
5,0.0010289298338146565,22.52905758222486,21.845969118093862
5,0.001133883667538029,21.768016337719835,20.983439569422288
5,0.0012495430973586534,21.037595672504047,20.133890627635992
5,0.0013770001251951986,20.343467414787987,19.297892341715464
5,0.001517458140336036,19.693261275018607,18.47592238410984
5,0.0016722432812747068,19.097736400142516,17.668381197828587
5,0.001842816956485632,18.573054399222386,16.875612622638208
5,0.0020307896423553294,18.145661402397423,16.097925496968884
5,0.0022379360885427394,17.864392565827835,15.335611749266942
5,0.0024662120743304703,17.838109188012957,14.588957569165114
5,0.002717772874172606,18.414935836154932,13.858246096544033
5,0.0029949936067820387,26.024572501372212,13.14375220979096
5,0.0033004916598838646,16.764665232668534,12.445731889517738
5,0.003637151402358808,14.627238954679605,11.764409792091975
5,0.004008151417097093,13.076731554595895,11.09996877783568
5,0.004416994511682568,11.781396879916308,10.452544172859122
5,0.004867540790253865,10.637102344106495,9.822223796676298
5,0.005364044098791477,9.59791753220997,9.209052815668642
5,0.005911192187930082,8.63986570741374,8.613040928161709
5,0.00651415097249446,7.749085200821014,8.034168758500215
5,0.007178613305636679,6.916950626603828,7.472390829662279
5,0.007910852728077117,6.137809774133338,6.927633914421966
5,0.0087177826999242,5.4079759094238256,6.399791442274459
5,0.009607021874312009,4.725406917136027,5.888716326506399
5,0.010586966029138566,4.089661905921105,5.394215496135347
5,0.011666867336050574,3.501742826531867,4.916049241375655
5,0.012856921715094902,2.9635490914814753,4.453937238025265
5,0.014168365099798567,2.4770084867071205,4.0075711845522815
5,0.015613579521566553,2.043397878194007,3.576631958627223
5,0.017206210014996618,1.6635927747791115,3.160807675295077
