K,nmax,gamma,log_A1_over_factorial,log_A2_weighted_over_factorial,log_weighted_ratio
10,220,0.06670466966335059,-60.54355988823973,-62.5478007674388,-2.004240879199074
10,220,0.06831573761911057,-60.991840297099564,-62.32161016953571,-1.3297698724361453
10,220,0.06996571649326913,-61.974890008346634,-62.09309325782496,-0.11820324947832717
10,220,0.07165554607211228,-66.9755406883182,-61.86295931717795,5.1125813711402515
10,220,0.07338618883988074,-61.62906330888963,-61.63209357997705,-0.0030302710874252625
10,220,0.0751586305269766,-59.84956777979699,-61.40149346495595,-1.551925685158956
10,220,0.07697388067141053,-58.705287955908794,-61.17220111839669,-2.4669131624878986
10,220,0.0788329731938091,-57.81586684666926,-60.94523966383295,-3.1293728171636914
10,220,0.08073696698630976,-57.06700727505088,-60.72155770315945,-3.6545504281085712
10,220,0.08268694651567936,-56.408760049862046,-60.501983544421655,-4.093223494559609
10,220,0.08468402244099858,-55.81480782041604,-60.28718812505885,-4.472380304642805
10,220,0.08672933224626564,-55.26960009988951,-60.077654121238616,-4.808054021349108
10,220,0.08882404088827822,-54.76320814887073,-59.87364804456709,-5.110439895696359
10,220,0.09096934146016371,-54.28893267688499,-59.675192555665106,-5.386259878780116
10,220,0.09316645587093456,-53.84206741550172,-59.48203721132936,-5.639969795827646
10,220,0.095416635541457,-53.41920784962742,-59.29362786090722,-5.874420011279803
10,220,0.09772116211722874,-53.01784080899287,-59.10907783091997,-6.0912370219271
10,220,0.10008134819837194,-52.63608920810573,-58.92714796756279,-6.291058759457059
10,220,0.1024985380872567,-52.27254757141525,-58.74624753880656,-6.473699967391305
10,220,0.1049741085541823,-51.92617348010435,-58.5644722864518,-6.63829880634745
10,220,0.10750946962155049,-51.596215071341724,-58.37969762179593,-6.7834825504542025
10,220,0.11010606536697834,-51.28216298501048,-58.18973954883837,-6.907576563827888
10,220,0.11276537474580908,-50.98371984401513,-57.99258038588053,-7.008860541865403
10,220,0.11548891243348688,-50.700783173332916,-57.7866314747588,-7.085848301425884
10,220,0.11827822968827845,-50.43343969261838,-57.57097873126631,-7.13753903864793
10,220,0.12113491523483026,-50.18197022080703,-57.34554579413155,-7.163575573324522
10,220,0.12406059616906559,-49.946865833659686,-57.11112503119251,-7.164259197532822
10,220,0.12705693888493813,-49.72885725793901,-56.86926732766359,-7.140410069724581
10,220,0.13012565002356682,-49.52896138878146,-56.62206690659865,-7.093105517817186
10,220,0.13326847744529655,-49.348551562926005,-56.37190415932127,-7.023352596395263
10,220,0.1364872112252347,-49.18946277370427,-56.12120756701917,-6.931744793314898
10,220,0.13978368467283242,-49.05415082314789,-55.872273338334914,-6.818122515187021
10,220,0.14315977537609217,-48.945938741722564,-55.62715457872604,-6.681215837003478
10,220,0.146617406270994,-48.86941174322111,-55.38761174980413,-6.518200006583022
10,220,0.15015854673675086,-48.8310797204298,-55.155107199554635,-6.324027479124837
10,220,0.15378521371751824,-48.84055598921527,-54.93082570619691,-6.090269716981645
10,220,0.15749947287119354,-48.91282212469174,-54.71570612048923,-5.802883995797487
10,220,0.16130343974596353,-49.07305269991557,-54.510473608426864,-5.437420908511292
10,220,0.16519928098526684,-49.36851110236306,-54.31566544425725,-4.947154341894191
10,220,0.16918921556185876,-49.905334337056956,-54.13164572875726,-4.226311391700307
10,220,0.17327551604168323,-51.021810534311314,-53.958605190875446,-2.936794656564132
10,220,0.17746050987826767,-62.42882661119029,-53.796542419620714,8.632284191569575
10,220,0.18174658073838285,-50.51836645667881,-53.64522191279387,-3.1268554561150594
10,220,0.18613616985971887,-48.880798126536114,-53.5041036666286,-4.623305540092488
10,220,0.19063177744135182,-47.82672485052846,-53.37223859801768,-5.545513747489224
10,220,0.1952359640677952,-47.0148867544256,-53.248126717163785,-6.233239962738182
10,220,0.1999513521674435,-46.338522750666314,-53.129543219600066,-6.791020468933752
10,220,0.2047806275062408,-45.750135918141595,-53.01335717730764,-7.263221259166045
10,220,0.20972654071742627,-45.22442885460481,-52.895403140296864,-7.670974285692054
10,220,0.2147919088682241,-44.74633768144322,-52.770515212237505,-8.024177530794283
10,220,0.21997961706437502,-44.30618366147919,-52.63287035057834,-8.326686689099148
10,220,0.2252926200934192,-43.89739864827407,-52.47675155918912,-8.579352910915048
10,220,0.2307339441076677,-43.515341623420746,-52.29766532105266,-8.782323697631917
10,220,0.23630668834782426,-43.15663350766421,-52.093464540694185,-8.936831033029975
10,220,0.2420140269082324,-42.81876037137252,-51.86495772212543,-9.046197350752912
10,220,0.2478592105447612,-42.49982548216101,-51.615671417468064,-9.115845935307057
10,220,0.25384556852635287,-42.19838868780272,-51.35090046776988,-9.152511779967163
10,220,0.2599765105312897,-41.913359602209546,-51.07653081145972,-9.163171209250173
10,220,0.2662555285892618,-41.6439254315382,-50.79809346952683,-9.154168037988633
10,220,0.27268619907033886,-41.389502126573774,-50.52024013178036,-9.130738005206588
10,220,0.2792721847219786,-41.1497020005019,-50.246590826527886,-9.096888826025989
10,220,0.2860172367552378,-40.92431367848074,-49.97980974520298,-9.055496066722235
10,220,0.2929251969813648,-40.71329199582424,-49.72177861287777,-9.008486617053528
10,220,0.3,-40.51675667345315,-49.473786133606566,-8.957029460153414
